Reef ID,Reef Name,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Cardinal Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Cardinal Direction,Ocean,Country,State/Province/Island,City/Town,Year,Date,Depth,Organism Code,S1,S2,S3,S4,Errors?,What errors?
103.10.28.1E.10.50.46.1N,Koh Mano (Minor),103,10,28.1,E,10,50,46.1,N,Indian,Cambodia,Koh Kong,,2003,19-Feb-03,4.5,Bleaching (% of colony),0,0,0,0,FALSE,
103.10.28.1E.10.50.46.1N,Koh Mano (Minor),103,10,28.1,E,10,50,46.1,N,Indian,Cambodia,Koh Kong,,2003,19-Feb-03,4.5,Bleaching (% of population),0,0,0,0,FALSE,
103.11.35.5E.10.49.32N,Koh Mano (south),103,11,35.5,E,10,49,32,N,Indian,Cambodia,Koh Kong,,2003,28-Feb-03,4.5,Bleaching (% of colony),0,0,0,0,FALSE,
103.11.35.5E.10.49.32N,Koh Mano (south),103,11,35.5,E,10,49,32,N,Indian,Cambodia,Koh Kong,,2003,28-Feb-03,4.5,Bleaching (% of population),0,0,0,0,FALSE,
103.11.79.5E.10.48.2.7N,Koh Ta Team,103,11,47.7,E,10,48,2.7,N,Indian,Cambodia,Koh Kong,,2003,24-Feb-03,5,Bleaching (% of colony),0,0,0,0,FALSE,
103.11.79.5E.10.48.2.7N,Koh Ta Team,103,11,47.7,E,10,48,2.7,N,Indian,Cambodia,Koh Kong,,2003,24-Feb-03,5,Bleaching (% of population),0,0,0,0,FALSE,
103.4.16.8E.11.3.36.2N,Koh Krosa Krao,103,4,16.8,E,11,3,36.2,N,Indian,Cambodia,Koh Kong,,2003,25-Feb-03,6,Bleaching (% of colony),0,0,0,0,FALSE,
103.4.16.8E.11.3.36.2N,Koh Krosa Krao,103,4,16.8,E,11,3,36.2,N,Indian,Cambodia,Koh Kong,,2003,25-Feb-03,6,Bleaching (% of population),0,0,0,0,FALSE,
103.4.63.9E.11.3.58.3N,Koh Krosa Kandal,103,4,38.3,E,11,3,58.3,N,Indian,Cambodia,Koh Kong,,2003,27-Feb-03,3.2,Bleaching (% of colony),0,0,0,0,FALSE,
103.4.63.9E.11.3.58.3N,Koh Krosa Kandal,103,4,38.3,E,11,3,58.3,N,Indian,Cambodia,Koh Kong,,2003,27-Feb-03,3.2,Bleaching (% of population),0,0,0,0,FALSE,
103.5.55.5E.10.53.48.5N,Koh Smach,103,5,55.5,E,10,53,48.5,N,Indian,Cambodia,Koh Kong,,2003,18-Feb-03,3,Bleaching (% of colony),0,0,0,0,FALSE,
103.5.55.5E.10.53.48.5N,Koh Smach,103,5,55.5,E,10,53,48.5,N,Indian,Cambodia,Koh Kong,,2003,18-Feb-03,3,Bleaching (% of population),0,0,0,0,FALSE,
12.06.24.8S96.52.15.1E,100th,96,52,15.1,E,12,6,24.8,S,Indian,Australia,Cocos (Keeling) Islands,,2003,23-Apr-03,3,Bleaching (% of colony),0,0,0,0,FALSE,
12.06.24.8S96.52.15.1E,100th,96,52,15.1,E,12,6,24.8,S,Indian,Australia,Cocos (Keeling) Islands,,2003,23-Apr-03,3,Bleaching (% of population),0,0,0,0,FALSE,
59.38.26W.13.13.40N,Lower Carlton,59,38,26,W,13,13,40,N,Atlantic,Barbados,,,2003,22-Feb-03,1,Bleaching (% of colony),0,0,,,TRUE,only did half of transect
59.38.26W.13.13.40N,Lower Carlton,59,38,26,W,13,13,40,N,Atlantic,Barbados,,,2003,22-Feb-03,1,Bleaching (% of population),0,0,,,TRUE,only did half of transect
60.56.7.4W.13.43.13.8N,Maria Islands Nature Reserve,60,56,7.4,W,13,43,13.8,N,Atlantic,St Lucia,,Vieux Fort,2003,18-Mar-03,3,Bleaching (% of colony),0,0,0,0,FALSE,
60.56.7.4W.13.43.13.8N,Maria Islands Nature Reserve,60,56,7.4,W,13,43,13.8,N,Atlantic,St Lucia,,Vieux Fort,2003,18-Mar-03,3,Bleaching (% of population),0,0,0,0,FALSE,
60.9555W.14.1015N,Le Sport Reef,60,57,19.8,W,14,6,5.4,N,Atlantic,St Lucia,,Gros-Islet,2003,20-Feb-03,3,Bleaching (% of colony),0,0,0,0,FALSE,
60.9555W.14.1015N,Le Sport Reef,60,57,19.8,W,14,6,5.4,N,Atlantic,St Lucia,,Gros-Islet,2003,20-Feb-03,3,Bleaching (% of population),0,0,0,0,FALSE,
61.0035W.13.7540N,Kay Ken (Laborie),61,0,12.6,W,13,45,14.4,N,Atlantic,St Lucia,,Laborie,2003,11-Mar-03,2,Bleaching (% of colony),0,0,0,0,FALSE,
61.0035W.13.7540N,Kay Ken (Laborie),61,0,12.6,W,13,45,14.4,N,Atlantic,St Lucia,,Laborie,2003,11-Mar-03,2,Bleaching (% of population),0,0,0,0,FALSE,
61.0055W.13.7515N,Flat Land (Laborie),61,0,19.8,W,13,45,5.4,N,Atlantic,St Lucia,,Laborie,2003,25-Mar-03,2,Bleaching (% of colony),0,0,0,0,FALSE,
61.0055W.13.7515N,Flat Land (Laborie),61,0,19.8,W,13,45,5.4,N,Atlantic,St Lucia,,Laborie,2003,25-Mar-03,2,Bleaching (% of population),0,0,0,0,FALSE,
61.0755W.13.8100N,Coral Gardens,61,4,31.8,W,13,48,36,N,Atlantic,St Lucia,,Soufriere,2003,27-Feb-03,3,Bleaching (% of colony),0,0,0,0,FALSE,
61.0755W.13.8100N,Coral Gardens,61,4,31.8,W,13,48,36,N,Atlantic,St Lucia,,Soufriere,2003,27-Feb-03,10,Bleaching (% of colony),0,0,0,0,FALSE,
61.0755W.13.8100N,Coral Gardens,61,4,31.8,W,13,48,36,N,Atlantic,St Lucia,,Soufriere,2003,27-Feb-03,3,Bleaching (% of population),0,0,0,0,FALSE,
61.0755W.13.8100N,Coral Gardens,61,4,31.8,W,13,48,36,N,Atlantic,St Lucia,,Soufriere,2003,27-Feb-03,10,Bleaching (% of population),0,0,0,0,FALSE,
61.08011W.13.8600N,Turtle Reef,61,4,48,W,13,51,36,N,Atlantic,St Lucia,Soufriere,,2003,13-Mar-03,10,Bleaching (% of colony),0,0,0,0,FALSE,
61.08011W.13.8600N,Turtle Reef,61,4,48,W,13,51,36,N,Atlantic,St Lucia,Soufriere,,2003,13-Mar-03,10,Bleaching (% of population),0,0,0,0,FALSE,
61.4.80W.13.51.84N,Anse Chastanet Reef,61,4,48,W,13,51,50.4,N,Atlantic,St Lucia,,Soufriere Marine Management Area,2003,5-Mar-03,3,Bleaching (% of colony),0,0,0,0,FALSE,
61.4.80W.13.51.84N,Anse Chastanet Reef,61,4,48,W,13,51,50.4,N,Atlantic,St Lucia,,Soufriere Marine Management Area,2003,5-Mar-03,10,Bleaching (% of colony),0,0,0,0,FALSE,
61.4.80W.13.51.84N,Anse Chastanet Reef,61,4,48,W,13,51,50.4,N,Atlantic,St Lucia,,Soufriere Marine Management Area,2003,5-Mar-03,3,Bleaching (% of population),0,0,0,0,FALSE,
61.4.80W.13.51.84N,Anse Chastanet Reef,61,4,48,W,13,51,50.4,N,Atlantic,St Lucia,,Soufriere Marine Management Area,2003,5-Mar-03,10,Bleaching (% of population),0,0,0,0,FALSE,
63.24.47E.19.40.06N,Passe Armand,63,24,47,E,19,40,6,S,Indian,Mauritius,Rodrigues,Pt. Monier,2003,7-Jun-03,12,Bleaching (% of colony),0,0,0,0,FALSE,
63.24.47E.19.40.06N,Passe Armand,63,24,47,E,19,40,6,S,Indian,Mauritius,Rodrigues,Pt. Monier,2003,7-Jun-03,12,Bleaching (% of population),0,0,0,0,FALSE,
63.26.235E.19.39.662S,Patte Cappor,63,26,14.1,E,19,39,39.7,S,Indian,Mauritius,Rodrigues,Port Mathurin,2003,8-Jun-03,6,Bleaching (% of colony),0,0,0,0,FALSE,
63.26.235E.19.39.662S,Patte Cappor,63,26,14.1,E,19,39,39.7,S,Indian,Mauritius,Rodrigues,Port Mathurin,2003,8-Jun-03,6,Bleaching (% of population),0,0,0,0,FALSE,
68.53.42W.12.05.16N,"Curacao Sea Aquarium House Reef, Plot A #1",68,53,49.5,W,12,4,59.6,N,Atlantic,Netherlands Antilles,Curacao,Bapor Kibra,2003,23-Jan-03,4,Bleaching (% of colony),0,0,0,0,FALSE,
