Reef.ID,Reef.Name,Ocean,Country,State.Province.Island,City.Town,Year,Date,Depth,Organism.Code,S1,S2,S3,S4,Errors.,What.errors.,Average_bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Region,Diversity,rate_of_SST_change,Longitude.Degrees,Latitude.Degrees
103.10.28.1E.10.50.46.1N,Koh Mano (Minor),Indian,Cambodia,Koh Kong,,2003,19-Feb-03,4.5,Bleaching (% of population),0,0,0,0,FALSE,,0,302.93,301.6,302.36,299.17,307.54,1.2,3,-0.31,0.97,0,-3.31,4.21,2,6.92,31,8,2.28,4.11,19.88,2.75,-2.09,1.2,-4.51,3.84,-1.32,0,2.05,9,1,0,1.69,14.56,0.59,ERG050,417,0.020555555,103.1744722,10.84613889
103.11.35.5E.10.49.32N,Koh Mano (south),Indian,Cambodia,Koh Kong,,2003,28-Feb-03,4.5,Bleaching (% of population),0,0,0,0,FALSE,,0,303.16,303.02,302.35,298.29,307.73,1.16,3,0.85,0.92,0,-3.53,4.05,1,6.33,31,6,1.08,3.74,22.86,2.35,-0.65,1.16,-5.38,4.05,-1.31,0,2.04,10,1,0,1.8,17.01,0.52,ERG050,417,0.020555555,103.1931944,10.82555556
103.11.79.5E.10.48.2.7N,Koh Ta Team,Indian,Cambodia,Koh Kong,,2003,24-Feb-03,5,Bleaching (% of population),0,0,0,0,FALSE,,0,303.04,301.49,302.42,299.17,307.12,1.23,3,-0.53,1,0,-3.17,3.69,3,7.51,34,8,1.26,4.42,22.67,3.02,-2.28,1.23,-4.59,3.34,-1.34,0,1.8,8,1,0,1.62,13.76,0.52,ERG050,417,0.020555555,103.1965833,10.80075
103.4.16.8E.11.3.36.2N,Koh Krosa Krao,Indian,Cambodia,Koh Kong,,2003,25-Feb-03,6,Bleaching (% of population),0,0,0,0,FALSE,,0,302.88,301.86,302.39,298.95,307.21,1.13,3,-0.08,0.91,0,-3.45,3.56,6,5.4,22,6,7.84,3.82,25.57,2.26,-1.83,1.13,-4.73,3.51,-1.29,0,1.89,8,1,0,1.45,10.94,0.41,ERG050,417,0.019065656,103.0713333,11.06005556
103.4.63.9E.11.3.58.3N,Koh Krosa Kandal,Indian,Cambodia,Koh Kong,,2003,27-Feb-03,3.2,Bleaching (% of population),0,0,0,0,FALSE,,0,262.15,303.1,302.424,299.032,306.942,1.146,3,0.93,0.932,0,-3.264,3.38,5.2,5.898,27.2,6.4,6.152,4.108,25.366,2.394,-0.612,1.146,-4.672,3.224,-1.278,0,2.196,9.8,1,0,1.692,15.038,0.488,ERG050,417,0.019065656,103.0773056,11.06619444
103.5.55.5E.10.53.48.5N,Koh Smach,Indian,Cambodia,Koh Kong,,2003,18-Feb-03,3,Bleaching (% of population),0,0,0,0,FALSE,,0,302.5,302.41,302.29,298.97,305.92,1.12,3,0.82,0.87,0,-3.44,2.73,3,5.89,31,6,3.75,3.56,20.74,2.09,-1.25,1.12,-4.69,2.25,-1.35,0,1.49,7,0,0,1.03,9.86,0.26,ERG050,417,0.020555555,103.09875,10.89680556
12.06.24.8S96.52.15.1E,100th,Indian,Australia,Cocos (Keeling) Islands,,2003,23-Apr-03,3,Bleaching (% of population),0,0,0,0,FALSE,,0,300.75,299.91,300.34,296.61,306.07,1.12,9,-1.27,0.81,0,-2.94,4.66,3,4.97,22,4,0,2.82,23.38,1.62,-1.55,1.12,-4.84,4.61,-1.11,0,2.37,12,1,0,1.75,21.67,0.5,ERG106,112,-0.020833333,96.87086111,-12.10688889
59.38.26W.13.13.40N,Lower Carlton,Atlantic,Barbados,,,2003,22-Feb-03,1,Bleaching (% of population),0,0,NA,NA,TRUE,only did half of transect,0,299.78,299.41,300.47,296.92,303.6,1.08,9,-0.07,0.76,0,-3.35,2.6,0,4.71,22,3,0,2.63,16.96,1.11,-2.46,1.08,-4.94,1.73,-1.38,0,0.57,5,0,0,0.45,4.25,0.1,ERG138,59,0.028762626,-59.64055556,13.22777778
60.56.7.4W.13.43.13.8N,Maria Islands Nature Reserve,Atlantic,St Lucia,,Vieux Fort,2003,18-Mar-03,3,Bleaching (% of population),0,0,0,0,FALSE,,0,299.95,299.17,300.46,296.7,304.32,1.12,6,-0.42,0.78,0,-3.66,2.68,1,5.39,25,4,0,2.68,15.56,1.45,-2.71,1.12,-5.17,2.44,-1.41,1,1.64,7,1,0,1.2,9.29,0.38,ERG138,59,0.030101009,-60.93538889,13.7205
60.9555W.14.1015N,Le Sport Reef,Atlantic,St Lucia,,Gros-Islet,2003,20-Feb-03,3,Bleaching (% of population),0,0,0,0,FALSE,,0,299.62,299.26,300.44,296.97,305.05,1.13,9,-0.02,0.78,0,-3.22,3.27,1,4.81,26,3,0,2.52,16.19,1.28,-2.61,1.13,-4.9,3.17,-1.42,1,1.41,6,0,0,0.99,7.44,0.31,ERG138,59,0.028560605,-60.9555,14.1015
